Text,Category
شکست تلخ و خانگی شاگردان مجیدی در لیگ امارات,sport
قدرت‌نمایی آکگل در کشتی قهرمانی اروپا,sport
سجادی: با همه توان برای توسعه کمی و کیفی ورزش تلاش می‌کنیم,sport
حریفان یزدانی آفتابی شدند,sport
پولادگر: AFC تفکیک مالکیت سرخابی‌ها را می‌پذیرد/ خبری درباره حذف پرسپولیس از آسیا نشنیدم,sport
تمرین سنگین پرسپولیسی‌ها زیر نظر گل‌محمدی,sport
انحلال تیم فوتسال گهر زمین بر خلاف سیاست‌های کشور است,sport
رئیس لالیگا: طرفدار مسی هستم اما برای بازگشت او قانون را عوض نمی‌کنیم,sport
اعلام فهرست تیم والیبال زیر ۱۶ سال دختران؛ آماده‌باش شعبان‌خمسه به ۳۹ بازیکن,sport
جانشین مسی در پاریس مشخص شد,sport
نادری: فوتبال ساحلی ایران پتانسیل قهرمانی در جهان را دارد,sport
بنزما تا ۲۰۲۴ در رئال ماندگار شد,sport
مدیرکل دفتر امور بین‌الملل وزارت ورزش منصوب شد,sport
نشست رئیس سازمان خصوصی‌سازی با مدیرعامل پرسپولیس درباره مجوز حرفه‌ای,sport
هشت پزشک متخصص در پرونده مرگ مارادونا محاکمه خواهند شد,sport
"واکنش تند جدیدی به صحبت‌های برزگر؛ ""دروغ نگویید""",sport
عطایی سرمربی فولاد سیرجان شد,sport
اعلام آخرین مهلت شکایت از باشگاه‌های والیبال,sport
ورمزیار: نقطه قوت پرسپولیس خط دفاعی‌اش است/ گلی که به قلیچ زدم را فراموش نمی‌کنم,sport
سرمربی تیم والیبال بانوان پیکان: با ترکیبی متفاوت در آسیا حاضر می‌شویم,sport
اعتراف صادقانه شوچنکو درباره لیورپول,sport
زورآزمایی غول‌های کشتی جهان در زاگرب,sport
واکنش فدراسیون فوتبال به دوشغله بودن ممبینی,sport
استارت تمرینات تراکتور برای بازی با پیکان با بازگشت کاپیتان,sport
 تیم ملی اسکیت رولبال ایران عازم هند شد,sport
اعلام اسامی بازیکنان اعزامی به جام باشگاه‌های والیبال آسیا,sport
عبدی: ۲ بازیکن استقلال باید مهار شوند/ پیروزی در دربی مثل کسب جام است,sport
برد در همه بازی‌ها، شرط صعود فجر شهید سپاسی به لیگ برتر فوتبال,sport
ماجراهای بازمانده‌های «نسل طلایی» والیبال؛از رفت و برگشت سید تا غیبت میلاد و خداحافظی امیر,sport
نظر سجادی درباره حضور زنان در ورزشگاه برای تماشای دربی,sport
کریمی قبل از دربی پرکار شد؛ بخشش جرایم و واریز پاداش استقلالی‌ها,sport
سرمربی بسکتبال ذوب‌آهن: امیدواریم مصدومان ما به نیمه نهایی سوپرلیگ آسیا برسند,sport
تقلید از شادی گل معروف مسی جلوی چشمان رونالدو + فیلم,sport
توضیح وزارت ورزش و جوانان درباره نامه سازمان بازرسی کل کشور,sport
وویوویچ: فدراسیون شاید راضی باشد اما من نه/ ایرانی‌ها نتیجه‌گرا هستند,sport
واکنش جالب بازیکنان تیم ملی هندبال به اخلاق سرمربی؛ وسلین سخت‌گیر و بسیار جدی است,sport
سورپرایز دبیر؛ ورژن جدید یزدانی در راه است + فیلم,sport
وقتی رونالدو کشتی‌کج کار می‌شود/ کریس در آستانه از دست دادن جام + فیلم,sport
فینالیست‌های لیگ برتر بسکتبال در نیمه‌نهایی غرب آسیا؛ جدال تمام ایرانی برای رسیدن به فینال,sport
دوئل ششم یزدانی و تیلور کلید خورد,sport
ماموریت ساپینتو برای یامگا,sport
اکبری: باید از نام و اعتبار خودمان و ذوب‌آهن دفاع کنیم/ بازیکن خارجی ما نیاز به زمان دارد,sport
هنرنمایی چامیزو در برابر قهرمان آذربایجانی + فیلم,sport
کُری‌ سنگین آزادکار جمهوری آذربایجان برای رحمان عموزاد,sport
ساعی: نعمت‌زاده فرقی با دیگران برایم ندارد/ به تیم‌مان خیلی امیدوارم,sport
یادواره شهیده آرزو باهو؛ آذرخش سرخون قهرمان فوتسال بانوان هرمزگان شد,sport
زارعی: صعود بانوی ایرانی به کوه آناپورتا سخت و مایه افتخار است,sport
فرهادیان: وقفه‌ای در برگزاری انتخابات کشتی پیش نمی‌آید/ برگزاری مجمع سوارکاری در اسرع وقت,sport
تیم والیبال ساحلی امید سنگ آهن بافق از پیکان بندر دیر شکست خورد,sport
شکست رونالدو و النصر برابر الهلال,sport
حذف تلخ ناپولی به دست میلانی‌ها؛ وداع صدرنشین سری‌آ با لیگ قهرمانان اروپا,sport
صعود شاگردان آنچلوتی به نیمه نهایی؛ رئال مادرید نتیجه بازی رفت را تکرار کرد,sport
تکذیب جدایی گل‌محمدی از پرسپولیس/ ورود کمیسیون اقتصادی به مسائل مالی باشگاه استقلال,sport
دوومیدانی جام رمضان؛ پایان رقابت‌ها با شکسته شدن ۲ رکورد,sport
 لیگ برتر هندبال؛ فولاد نوین فاتح شهرآورد نصف جهان,sport
النصر در دقیقه ۹۰ برتری را از یاران نوراللهی گرفت,sport
پیشتازی آزادکاران جمهوری آذربایجان در روز شکست سنگین حریف یزدانی,sport
شمسایی: از فوتسال گله دارم/ جوان‌ها حقشان را گرفتند,sport
تحقیر ازبک‌ها به دست شاگردان شمسایی/ حریف قوی‌تر برای ایران بیاورید,sport
بودجه امسال حوزه فرهنگی و ورزشی شهرداری گنبدکاووس ۲۵ میلیارد تومان است,sport
جلالی: حفظ آرامش راز قهرمانی است/ بازیکنان لیگ الان می‌دانند که دیده می‌شوند,sport
آغاز تمرینات پرسپولیس برای دربی/ بازگشت عمری و نعمتی,sport
رقابت‌های جهانی پیوند اعضا؛ تعداد مدال‌های ایران به عدد ۱۵ رسید,sport
تشکیل جلسه هیئت مدیره باشگاه پرسپولیس در آستانه شهرآورد پایتخت,sport
صلاح پادشاه چپ‌پاهای لیگ برتر انگلیس شد,sport
ورود کمیسیون اقتصادی به مسائل مالی باشگاه استقلال,sport
جنگ ستارگان جودو جهان در دوحه,sport
تکذیب جدایی گل‌محمدی/ باشگاه پرسپولیس: قبل از دربی انتظار این حواشی‌ را داشتیم,sport
رئال با انتشار ویدئویی عجیب، بارسا را خلع سلاح کرد؛ «کدام تیم، حکومتی است؟»,sport
حلالی: پرسپولیس چیزی از استقلال کم ندارد/ هر تیمی در دربی احتیاط کند بازنده است,sport
دیدار مسئولان فدراسیون رزمی با رئیس اداره ورزش نیروهای مسلح,sport
برگزاری مجمع انتخاباتی فدراسیون بدمینتون در خردادماه,sport
داور شهرآورد، شنبه مشخص می‌شود,sport
کمک ۳۰۴ میلیارد ریالی اداره کل ورزش و جوانان خوزستان به تیم فوتبال صنعت نفت آبادان,sport
تیم ملی فوتبال ایران در تورنمنت اردن؛ تقابل جذاب با کی‌روش,sport
برگزاری اردوی تدارکاتی تیم فوتبال دختران در امارات,sport
برنامه تیم ملی فوتبال در فیفادی مشخص شد,sport
جایزه هفت و نیم میلیون دلاری برای لیگ ملت‌های والیبال ۲۰۲۳,sport
ایران میزبان پیکارهای جودو ناشنوایان جهان شد,sport
مسیر درست فدراسیون فوتبال با اعتماد به مربیان ایرانی؛ تیم ملی را باید به خودی‌ها سپرد,sport
برنامه استقلال برای حفظ ساپینتو مشخص شد,sport
ادامه بیانیه‌های فله‌ای در فوتبال ایران؛ این بار نوبت سپاهان بود,sport
مروری بر اعداد مهم، شاخص‌ها و نمادهای فرانسه در پارالمپیک ۲۰۲۸ پاریس,sport
تیشه گران: پاداش قهرمانان ناشنوا از حدود ۲۸ درصد به ۶۰ درصد افزایش‌یافته است,sport
بازدید معاون وزیر از اردوی بوکس/ پولادگر: تکرار قهرمانی از کسب نخستین مدال سخت‌تر است,sport
سرپرست جدید اداره کل امور مجلس وزارت ورزش معارفه شد,sport
درگیری لفظی حسین وفایی با اسطوره سابقش؛ می‌خواهم دهان «اُ سالیوان» را ببندم,sport
اعتراض باشگاه صنعت‌ نفت آبادان به برگزار نشدن همزمان بازی‌های لیگ برتر,sport
اسکیت مدعی کسب جایگاه مناسب در بازی‌های آسیایی شد/ هانگژو نخستین آوردگاه جودو بعد از تعلیق,sport
برتری ساکرامنتو و فیلادلفیا در پلی‌آف NBA,sport
آرژانتین به لطف کسب میزبانی، به جام‌جهانی صعود کرد,sport
اقتدار از دست رفته؛ زنگ خطر کشتی ایران در آستانه,sport
پرسپولیس تنها یک بارگذاری تا حضور در آسیا,sport
هشت رویداد مهم در انتظار هندبال ایران,sport
قهرمان وزنه‌برداری جهان به کوبا می‌رود,sport
رییس فدراسیون: مربیان بسکتبال کشور سطح‌بندی می‌شوند,sport
اصلانی: با تمام تمرکز و برای برد به مصاف شهرداری گرگان می‌رویم,sport
دود بی‌نظمی برگزاری فوتبال در چشم هواداران,sport
دروازه‌بان استقلال لیگ را از دست داد,sport
امید به حضور وزنه‌برداری در المپیک لس‌آنجلس زنده شد,sport
پرسپولیس زیر ذره‌بین ساپینتو/خط و نشان شیخِ پرسپولیس برای استقلال در آستانه دربی,sport
آتش بازی کلوپ در خانه لیدز؛ ۹۰ دقیقه و ۷ گل,sport
قنبرزاده: شهرآورد تهران با حضور ۱۵ هزار تماشاگر برگزار می‌شود,sport
عبدی: کدام تبانی؟ زود گل خوردیم و تمرکزم را از دست دادم,sport
لیگ برتر بسکتبال؛ پیروزی دوم ذوب آهن اصفهان مقابل صنعت مس کرمان,sport
مشکل مالکیت مشترک استقلال و پرسپولیس رفع شد,sport
رضاوند به دربی می‌رسد,sport
پیولی: به پیروزی‌ قبلی مقابل ناپولی فکر نمی‌کنیم/ جو ورزشگاه مارادونا به ما انرژی می‌دهد,sport
پرسپولیس زیر ذره‌بین ساپینتو؛ کادر فنی استقلال آنالیز دربی را شروع کرد,sport
لمپارد: چلسی باید از امتیاز میزبانی استفاده کند/ آنچلوتی دلیل اصلی قدرت رئال است,sport
سال پُر ترافیک وزنه‌برداری,sport
رقابت‌های جهانی پیوند اعضا؛ ۹ مدال به نام ایران ضرب شد,sport
ترکیب تیم ایران در مسابقات آبهای آرام و پاراکانو قهرمانی آسیا مشخص شد,sport
انتخاب اعضای هیئت مدیره گروه نجوا/ چهره‌های ورزشی برای «نیکوکاری» به خط شدند,sport
لاپورتا بازگشت مسی به بارسلونا را تایید کرد+ فیلم,sport
تنها استقلال شائبه مالی ندارد؛ نور به تاریکخانه خزانه همه فوتبال تابانده شود,sport
میزبانی فینال پرش با اسب فدراسیون جهانی به ایران رسید,sport
اعتراف درستکار به کسب نتایج ضعیف؛ دبیر: محکم پشت کادر فنی هستم,sport
واکنش باشگاه آلومینیوم به پیشنهادات استقلال و سپاهان برای جذب زاپاتا,sport
رویارویی وفایی با اسطوره اسنوکر جهان,sport
اولین واکنش پژمان درستکار به ناکامی کشتی آزاد در آسیا,sport
۷۰۰ باشگاه کوهنوردی در کشور فعال است,sport
توضیح فدراسیون زورخانه‌ای در خصوص استعفا روسای سه کمیته,sport
وضعیت مبهم ۲ ستاره پرسپولیس برای حضور در دربی,sport
داوری: گزینه‌های اروپایی و تراز اول را برای تیم ملی بسکتبال مد نظر داریم,sport
دستور وزیر ورزش برای رفع مشکل مسکن و بیمه ورزشکاران,sport
خاطره بازی فیفا از دیدار با ولز در جام‌جهانی؛ پیروزی دیرهنگام را از ایران یاد بگیرید,sport
بیانیه مس‌رفسنجان در خصوص داوری بازی با سپاهان؛ به کجا شکایت کنیم,sport
با کم‌تر از ۲۰ طلا در بازی‌های آسیایی چندم می‌شویم؟,sport
تغییر وزن قهرمان کشتی جهان برای حضور در المپیک,sport
باقری: به خاطر دِینم به کاراته بازگشتم,sport
جدال مدعیان برای حضور در تیم کمتر از ۱۲ سال تنیس دختران,sport
هزار میلیارد تومان بودجه لازم برای بازسازی ورزشگاه آزادی,sport
۹ فرنگی کار قمی برای حضور در جام بین المللی تختی برگزیده شدند,sport
آشنایی با مقررات جدید کارگزاران رسمی فوتبال (بخش دوم),sport
موسوی: بوکس جهان یک مدال به من بدهکار است,sport
اعلام اسامی دوومیدانی‌کاران اعزامی به قهرمانی نوجوانان آسیا,sport
«احمد کریمی» به عنوان رییس هیات وزنه‌برداری کرمانشاه انتخاب شد,sport
نخستین اردوی تیم ملی کشتی فرنگی پس از قهرمانی آسیا,sport
سه والیبالیست فارس در اردوی تیم ملی بانوان حضور دارند,sport
ریکاوری تراکتوری‌ها؛ استارت تمرینات پس از استراحت یک روزه برای بازی با پیکان,sport
میرزازاده در صدر برترین فرنگی‌کاران سنگین وزن دنیا,sport
برای اولین بار برنامه سالانه از فدراسیون وزنه‌برداری به استان‌ها ابلاغ می‌شود,sport
نایب رئیس بانوان فدراسیون کاراته تغییر کرد,sport
خط و نشان شیخِ پرسپولیس برای استقلال در آستانه دربی,sport
پیشگویی عجیبی که محقق شد,sport
استانداری با اجرای برنامه‌های ورزشی بدنبال افزایش شادابی بوشهری‌ها است,sport
عذرخواهی ساکا از هواداران آرسنال,sport
محکومیت تراکتور و ذوب‌آهن در کمیته تعیین وضعیت بازیکنان,sport
دبیر: بساط فامیل‌بازی را در کشتی جمع کردم/ آنقدر علیه من بنویسند تا بمیرند,sport
رونالدو ۱۱ بازیکن مورد علاقه‌اش را انتخاب کرد؛ سهم رئال‌ بیشتر از منچستر,sport
خبر خوش برای کاتالان‌ها؛ مسی به بارسلونا بازمی‌گردد,sport
نبرد مرگ و زندگی قندی‌ها در نوشهر برای پلی‌آف,sport
اعتراف لمپارد به ضعف بازیکنان چلسی,sport
۲ کشتی‌گیر ایرانی در راه خارج از کشور,sport
ادعای عجیب یک وزنه‌بردار؛ فرشتگان را در سالن دیدم,sport
جوایز کورس اسبدوانی بهاره گنبدکاووس ۵۰ درصد افزایش یافت,sport
گپ‌وگفت صمیمی ایرنا با اعضای تیم ملی فوتسال؛ وقتی فوتسالیست‌ها جوکر می‌شوند + فیلم,sport
اولادقباد: برای لیگ قهرمانان اروپا آماده می‌شوم/ تمریناتم را شروع کردم,sport
تیم والیبال ساحلی امید سنگ آهن بافق مغلوب ادریس آزادیان نوشهر شد,sport
شرط قهرمانی در لیگ برتر فوتبال/ وعده رئیس جمهور به ورزشکاران,sport
اصولی: فدراسیون از نظر مالی تحت فشار است/ انتخاب سرمربی تیم امید تا پایان هفته,sport
خط‌ و نشان مورینیو برای یاران جهانبخش با شکست اودینزه,sport
۲ هفته پایانی لیگ برتر همزمان برگزار می‌شود,sport
طیبی: رسانه‌ها و پیشکسوتان فشار را از روی تیم ملی فوتسال بردارند,sport
شمسایی: کسی که بتواند فوتسال را قهرمان جهان کند تیم را تقدیمش می‌کنم,sport
رئیس فراکسیون ورزش: سیستم انتخاب مدیرعامل سرخابی‌ها باید شفاف باشد,sport
در صورت تساوی امتیازات، بازی رودرو اولویت نخست تعیین قهرمان لیگ برتر,sport
دومین تساوی متوالی آزمون با لورکوزن,sport
سرمربی فوتسال ازبکستان: در دیدار بعدی ایران را شکست می‌دهیم / اشتباهات زیادی داشتیم,sport
تاج: برای برگزاری ۲ دیدار تدارکاتی با ازبکستان حدود ۵ میلیارد هزینه شد,sport
برگزاری دوومیدانی جام رمضان تنها با یک رکوردشکنی,sport
۷ تکواندوکار برتر انتخابی تیم ملی تکواندو بانوان مشخص شدند,sport
ازبک‌ها بازهم حریف فوتسال ایران نشدند,sport
صعود کاله مازندران به نیمه‌نهایی لیگ برتر بسکتبال,sport
تیم ۹۰ ارومیه حریف تهرانی خود را شکست داد,sport
غول‌کش یقه یوونتوس را هم گرفت؛ بیانکونری از سهمیه لیگ قهرمانان دور شد,sport
برتری پرسپولیس مقابل سایپا در دیدار تدارکاتی,sport
میرحاجی قهرمان تک لیفت روسیه شد,sport
یونایتد برد و به رده سوم رسید / شیاطین‌سرخ سهمیه لیگ قهرمانان را قطعی می‌کنند,sport
شکست وفایی برابر حریف چینی در مسابقات اسنوکر قهرمانی جهان,sport
درویش: جلسه با نمایندگان باید تاثیرش را نشان دهد/ مالکیت مشترک وزارت ورزش همچنان وجود دارد,sport
تمرینات سخت تالاخادزه برای رکوردشکنی در اروپا + فیلم,sport
تثبیت صدرنشینی فاینورد در لیگ برتر هلند در حضور ۲۰دقیقه‌ای جهانبخش,sport
تاج: باید موانع پیش روی فوتبال برداشته شود/ مشکلات استقلال بیشتر از پرسپولیس است,sport
رئیس فراکسیون ورزش: امیدی به بازگشت استقلال به لیگ قهرمانان نیست,sport
کریمی: استقلال ۱۶۰میلیارد از همراه اول طلب دارد/ ای کاش آن اتفاقات در تلویزیون نمی‌افتاد,sport
توقف صدرنشین لالیگا در خانه ختافه,sport
برتری استقلال در دیداری تدارکاتی یک روز بعد از شکستن قلب «ساکت»,sport
سوپراستار در جمع شاگردان حسینی؛ حال‌وهوای تمرین پیکان سینمایی شد,sport
توقف صدرنشین لیگ برتر انگلیس و فرار وستهم از شکست خانگی,sport
اسنوکر قهرمانی جهان؛ وفایی در فکر انتقام از حریف چینی,sport
شرایط قهرمانی استقلال، سپاهان و پرسپولیس؛ «رو در رو» با جام,sport
مسی دوباره رونالدو را خشمگین می‌کند؛ از پاریس به ریاض با احترام!,sport
کارگری: پاراتکواندو از اولویت‌های مهم ما به شمار می‌رود,sport
مشکلات دوچرخه سواری فارس پس از انتشار گزارش ایرنا مورد بررسی قرار گرفت  ,sport
تن‌هاخ به دنبال زوج برای کاسمیرو,sport
دعوت از ۱۹ بازیکن به اردوی مشترک تیم ملی والیبال بانوان و پیکان,sport
ویتنام میزبان مسابقات مرحله دوم جوانان بانوان آسیا  ,sport
واکنش قائم مقام پیکان به حضور حسینی در تیم امید: در خدمت فوتبال ملی هستیم,sport
از خودگذشتگی یا ترس؛ قایدی آقای گلی را با استقلال نمی‌خواهد!,sport
تقدیر دینامو زاگرب از ستاره ایرانی؛ به باشگاه صدتایی‌ها خوش آمدی,sport
سرپرست فدراسیون ترای اتلون معرفی شد,sport
عربشاهی: شانس آوردیم ساکت سرمربی تیم ملی نشد/ آقای الهامی عاشق هر تیمی هستید متعهد باشید,sport
خطر مرگ از بیخ گوش کاپیتان لاتزیو گذشت + فیلم,sport
ستاره ذوب آهن فصل را از دست داد/ کار تارتار سخت شد,sport
